  wavelength    amplitude
7.37927664E+02 2.64575131E+00
7.38123167E+02 2.82842712E+00
7.38318671E+02 3.16227766E+00
7.38514174E+02 2.64575131E+00
7.38709677E+02 3.31662479E+00
7.38905181E+02 3.46410162E+00
7.39100684E+02 3.74165739E+00
7.39296188E+02 3.16227766E+00
7.39491691E+02 3.60555128E+00
7.39687195E+02 2.82842712E+00
7.39882698E+02 3.46410162E+00
7.40078201E+02 3.87298335E+00
7.40273705E+02 3.31662479E+00
7.40469208E+02 3.87298335E+00
7.40664712E+02 4.12310563E+00
7.40860215E+02 4.00000000E+00
7.41055718E+02 3.46410162E+00
7.41251222E+02 4.12310563E+00
7.41446725E+02 3.87298335E+00
7.41642229E+02 4.12310563E+00
7.41837732E+02 3.74165739E+00
7.42033236E+02 3.60555128E+00
7.42228739E+02 3.31662479E+00
7.42424242E+02 3.87298335E+00
7.42619746E+02 3.87298335E+00
7.42815249E+02 3.87298335E+00
7.43010753E+02 4.24264069E+00
7.43206256E+02 4.00000000E+00
7.43401760E+02 3.74165739E+00
7.43597263E+02 4.69041576E+00
7.43792766E+02 4.35889894E+00
7.43988270E+02 3.87298335E+00
7.44183773E+02 4.35889894E+00
7.44379277E+02 4.24264069E+00
7.44574780E+02 4.35889894E+00
7.44770283E+02 3.87298335E+00
7.44965787E+02 4.24264069E+00
7.45161290E+02 4.47213595E+00
7.45356794E+02 4.47213595E+00
7.45552297E+02 4.58257569E+00
7.45747801E+02 4.58257569E+00
7.45943304E+02 4.69041576E+00
7.46138807E+02 4.24264069E+00
7.46334311E+02 4.69041576E+00
7.46529814E+02 4.69041576E+00
7.46725318E+02 4.35889894E+00
7.46920821E+02 4.12310563E+00
7.47116325E+02 5.19615242E+00
7.47311828E+02 4.58257569E+00
7.47507331E+02 4.47213595E+00
7.47702835E+02 4.89897949E+00
7.47898338E+02 5.00000000E+00
7.48093842E+02 5.00000000E+00
7.48289345E+02 5.00000000E+00
7.48484848E+02 5.29150262E+00
7.48680352E+02 5.19615242E+00
7.48875855E+02 5.47722558E+00
7.49071359E+02 5.56776436E+00
