Wavelength,Phase
1006.229846,-296.039323
1006.2381,-294.7765278
1006.246354,-294.7765278
1006.254608,-294.7765278
1006.262862,-294.7765278
1006.271116,-294.7765278
1006.27937,-294.7765278
1006.287624,-294.7765278
1006.295878,-294.7765278
1006.304132,-294.7765278
1006.312386,-294.7765278
1006.32064,-292.8823351
1006.328894,-292.8823351
1006.337148,-292.8823351
1006.345402,-292.8823351
1006.353656,-292.8823351
1006.36191,-292.8823351
1006.370164,-292.8823351
1006.378418,-292.8823351
1006.386672,-292.8823351
1006.394926,-292.8823351
1006.40318,-290.9881423
1006.411434,-290.9881423
1006.419688,-290.9881423
1006.427942,-290.9881423
1006.436196,-290.9881423
1006.44445,-290.9881423
1006.452704,-290.9881423
1006.460958,-290.9881423
1006.469212,-290.9881423
1006.477466,-290.9881423
1006.48572,-290.9881423
1006.493974,-289.7253471
1006.502228,-289.7253471
1006.510482,-289.7253471
1006.518736,-289.7253471
1006.52699,-289.7253471
1006.535244,-289.7253471
1006.543498,-289.7253471
1006.551752,-289.7253471
1006.560006,-289.7253471
1006.56826,-289.7253471
1006.576514,-288.4625519
1006.584768,-288.4625519
1006.593022,-288.4625519
1006.601276,-288.4625519
1006.60953,-288.4625519
1006.617784,-288.4625519
1006.626038,-288.4625519
1006.634292,-288.4625519
1006.642546,-288.4625519
1006.6508,-288.4625519
1006.659054,-285.9369616
1006.667308,-285.9369616
1006.675562,-285.9369616
1006.683816,-285.9369616
1006.69207,-285.9369616
1006.700324,-285.9369616
1006.708578,-285.9369616
1006.716832,-285.9369616
1006.725086,-285.9369616
1006.73334,-285.9369616
1006.741594,-284.6741664
1006.749848,-284.6741664
1006.758102,-284.6741664
1006.766356,-284.6741664
1006.77461,-284.6741664
1006.782864,-284.6741664
1006.791118,-284.6741664
1006.799372,-284.6741664
1006.807626,-284.6741664
1006.81588,-284.6741664
1006.824134,-282.1485761
1006.832388,-282.1485761
1006.840642,-282.1485761
1006.848896,-282.1485761
1006.85715,-282.1485761
1006.865404,-282.1485761
1006.873658,-282.1485761
1006.881912,-282.1485761
1006.890166,-282.1485761
1006.89842,-282.1485761
1006.906674,-282.1485761
1006.914928,-280.8857809
1006.923182,-280.8857809
1006.931436,-280.8857809
1006.93969,-280.8857809
1006.947944,-280.8857809
1006.956198,-280.8857809
1006.964452,-280.8857809
1006.972706,-280.8857809
1006.98096,-280.8857809
1006.989214,-280.8857809
1006.997468,-279.6229857
1007.005722,-279.6229857
1007.013976,-279.6229857
1007.02223,-279.6229857
1007.030484,-279.6229857
1007.038738,-279.6229857
1007.046992,-279.6229857
1007.055246,-279.6229857
1007.0635,-279.6229857
1007.071754,-279.6229857
1007.080008,-277.0973954
1007.088262,-277.0973954
1007.096516,-277.0973954
1007.10477,-277.0973954
1007.113024,-277.0973954
1007.121278,-277.0973954
1007.129532,-277.0973954
1007.137786,-277.0973954
1007.14604,-277.0973954
1007.154294,-277.0973954
1007.162548,-275.8346002
1007.170802,-275.8346002
1007.179056,-275.8346002
1007.18731,-275.8346002
1007.195564,-275.8346002
1007.203818,-275.8346002
1007.212072,-275.8346002
1007.220326,-275.8346002
1007.22858,-275.8346002
1007.236834,-275.8346002
1007.245088,-274.571805
1007.253342,-274.571805
1007.261596,-274.571805
1007.26985,-274.571805
1007.278104,-274.571805
1007.286358,-274.571805
1007.294612,-274.571805
1007.302866,-274.571805
1007.31112,-274.571805
1007.319374,-274.571805
1007.327628,-274.571805
1007.335882,-272.0462147
1007.344136,-272.0462147
1007.35239,-272.0462147
1007.360644,-272.0462147
1007.368898,-272.0462147
1007.377152,-272.0462147
1007.385406,-272.0462147
1007.39366,-272.0462147
1007.401914,-272.0462147
1007.410168,-272.0462147
1007.418422,-270.7834195
1007.426676,-270.7834195
1007.43493,-270.7834195
1007.443184,-270.7834195
1007.451438,-270.7834195
1007.459692,-270.7834195
1007.467946,-270.7834195
1007.4762,-270.7834195
1007.484454,-270.7834195
1007.492708,-270.7834195
1007.500962,-268.8892267
1007.509216,-268.8892267
1007.51747,-268.8892267
1007.525724,-268.8892267
1007.533978,-268.8892267
1007.542232,-268.8892267
1007.550486,-268.8892267
1007.55874,-268.8892267
1007.566994,-268.8892267
1007.575248,-268.8892267
1007.583502,-266.995034
1007.591756,-266.995034
1007.60001,-266.995034
1007.608264,-266.995034
1007.616518,-266.995034
1007.624772,-266.995034
1007.633026,-266.995034
1007.64128,-266.995034
1007.649534,-266.995034
1007.657788,-266.995034
1007.666042,-265.7322388
1007.674296,-265.7322388
1007.68255,-265.7322388
1007.690804,-265.7322388
1007.699058,-265.7322388
1007.707312,-265.7322388
1007.715566,-265.7322388
1007.72382,-265.7322388
1007.732074,-265.7322388
1007.740328,-265.7322388
1007.748582,-265.7322388
1007.756836,-263.2066484
1007.76509,-263.2066484
1007.773344,-263.2066484
1007.781598,-263.2066484
1007.789852,-263.2066484
1007.798106,-263.2066484
1007.80636,-263.2066484
1007.814614,-263.2066484
1007.822868,-263.2066484
1007.831122,-263.2066484
1007.839376,-261.9438532
1007.84763,-261.9438532
1007.855884,-261.9438532
1007.864138,-261.9438532
1007.872392,-261.9438532
1007.880646,-261.9438532
1007.8889,-261.9438532
1007.897154,-261.9438532
1007.905408,-261.9438532
1007.913662,-261.9438532
1007.921916,-260.6810581
1007.93017,-260.6810581
1007.938424,-260.6810581
1007.946678,-260.6810581
1007.954932,-260.6810581
1007.963186,-260.6810581
1007.97144,-260.6810581
1007.979694,-260.6810581
1007.987948,-260.6810581
1007.996202,-260.6810581
1008.004456,-258.7868653
1008.01271,-258.7868653
1008.020964,-258.7868653
1008.029218,-258.7868653
1008.037472,-258.7868653
1008.045726,-258.7868653
1008.05398,-258.7868653
1008.062234,-258.7868653
1008.070488,-258.7868653
1008.078742,-258.7868653
1008.086996,-255.6298774
1008.09525,-255.6298774
1008.103504,-255.6298774
1008.111758,-255.6298774
1008.120012,-255.6298774
1008.128266,-255.6298774
1008.13652,-255.6298774
1008.144774,-255.6298774
1008.153028,-255.6298774
1008.161282,-255.6298774
1008.169536,-255.6298774
1008.17779,-254.9984798
1008.186044,-254.9984798
1008.194298,-254.9984798
1008.202552,-254.9984798
1008.210806,-254.9984798
1008.21906,-254.9984798
1008.227314,-254.9984798
1008.235568,-254.9984798
1008.243822,-254.9984798
1008.252076,-254.9984798
1008.26033,-253.104287
1008.268584,-253.104287
1008.276838,-253.104287
1008.285092,-253.104287
1008.293346,-253.104287
1008.3016,-253.104287
