  wavelength    amplitude
1.01358175E+03 1.54922745E-01
1.01369448E+03 1.01543700E-01
1.01371438E+03 1.23056345E-01
1.01374753E+03 1.54053974E-01
1.01397963E+03 1.23056345E-01
1.01422499E+03 1.02071029E-01
1.01424489E+03 1.52301563E-01
1.01425910E+03 1.27344356E-01
1.01450351E+03 9.83203489E-02
1.01453004E+03 1.21298706E-01
1.01458309E+03 4.01744820E-02
1.01465382E+03 8.73316838E-02
1.01467593E+03 1.54053974E-01
1.01470909E+03 1.35513929E-01
1.01477540E+03 1.20855302E-01
1.01480856E+03 1.00880662E-01
1.01504066E+03 1.23056345E-01
1.01506055E+03 1.01543700E-01
1.01528381E+03 9.97658058E-02
1.01530591E+03 1.23056345E-01
1.01557117E+03 1.23056345E-01
1.01583642E+03 1.04153651E-01
1.01584306E+03 1.24789234E-01
1.01596905E+03 1.52301563E-01
1.01610168E+03 9.61114093E-02
1.01611589E+03 1.14668274E-01
1.01635273E+03 9.84762357E-02
1.01636694E+03 1.23056345E-01
1.01663219E+03 1.23056345E-01
1.01689745E+03 1.21960789E-01
1.01715607E+03 1.00480739E-01
1.01716934E+03 1.21298706E-01
1.01729533E+03 1.79784285E-01
1.01732849E+03 1.65262500E-01
1.01736165E+03 1.52301563E-01
1.01739481E+03 1.20112660E-01
1.01762690E+03 1.51417753E-01
1.01771311E+03 1.38647037E-01
1.01791427E+03 1.56931176E-01
1.01792532E+03 1.38776050E-01
1.01805795E+03 1.69009964E-01
1.01809110E+03 1.82746023E-01
1.01835636E+03 1.88173683E-01
1.01837057E+03 1.99979546E-01
1.01852214E+03 1.94141675E-01
1.01855530E+03 2.08797634E-01
1.01868793E+03 2.22490254E-01
1.01888687E+03 2.14817450E-01
1.01895318E+03 2.24890269E-01
1.01910571E+03 2.13878218E-01
1.01921844E+03 1.89948440E-01
1.01922507E+03 2.00132893E-01
1.01956991E+03 1.90794460E-01
1.01963843E+03 2.07292342E-01
1.01975558E+03 2.21522967E-01
1.01988158E+03 2.12303596E-01
1.02003631E+03 2.21280485E-01
1.02014684E+03 2.06535580E-01
1.02021315E+03 1.91180967E-01
1.02034578E+03 2.03590302E-01
1.02037894E+03 1.92754066E-01
1.02061104E+03 1.68213965E-01
1.02067072E+03 1.84209036E-01
1.02080998E+03 2.03590302E-01
1.02084314E+03 1.91706768E-01
1.02099787E+03 1.91356395E-01
1.02101997E+03 2.06643860E-01
1.02104208E+03 2.22490254E-01
1.02113050E+03 2.40278524E-01
1.02113492E+03 2.30781139E-01
1.02130733E+03 2.43239380E-01
1.02141786E+03 2.57880755E-01
1.02150628E+03 2.75332635E-01
1.02157259E+03 2.80802897E-01
1.02161996E+03 2.88659145E-01
1.02177153E+03 3.05817665E-01
1.02200363E+03 3.12116453E-01
1.02201026E+03 3.18880413E-01
1.02216942E+03 3.14472647E-01
1.02221363E+03 3.19833019E-01
1.02242141E+03 3.38798031E-01
1.02243467E+03 3.46423937E-01
1.02250099E+03 3.60598021E-01
1.02263361E+03 3.76618980E-01
1.02272203E+03 3.86468495E-01
1.02276624E+03 3.94545314E-01
1.02287992E+03 4.01458368E-01
1.02306466E+03 4.02793422E-01
1.02309781E+03 3.92669886E-01
1.02316413E+03 3.80871392E-01
1.02318623E+03 3.67723512E-01
1.02323044E+03 3.63563439E-01
1.02342938E+03 3.57608016E-01
1.02359517E+03 3.33125200E-01
1.02366148E+03 3.26204057E-01
1.02386706E+03 3.33366850E-01
1.02389358E+03 3.25929646E-01
1.02405937E+03 3.44870735E-01
1.02425831E+03 3.57608016E-01
1.02429147E+03 3.45389246E-01
1.02433125E+03 3.37686987E-01
1.02452356E+03 3.28561349E-01
1.02458988E+03 3.19972868E-01
1.02462304E+03 3.12760811E-01
1.02471145E+03 3.04057106E-01
1.02475566E+03 2.98713178E-01
1.02478882E+03 2.87960860E-01
1.02495461E+03 2.83024630E-01
1.02505408E+03 2.92813886E-01
1.02508723E+03 2.84915182E-01
1.02515355E+03 3.04938656E-01
1.02521986E+03 3.12760811E-01
1.02528618E+03 3.21785383E-01
1.02538565E+03 3.32722060E-01
1.02551828E+03 3.46940126E-01
1.02552491E+03 3.39905443E-01
1.02578353E+03 3.49637614E-01
1.02592721E+03 3.39905443E-01
1.02601563E+03 3.32722060E-01
1.02614826E+03 3.12760811E-01
1.02628089E+03 2.68421383E-01
1.02638036E+03 2.26080725E-01
1.02639141E+03 2.37280722E-01
1.02639694E+03 2.15752594E-01
1.02647983E+03 2.07508050E-01
1.02655941E+03 1.69009964E-01
1.02657930E+03 1.82010107E-01
1.02664561E+03 1.64176085E-01
1.02674509E+03 1.73709378E-01
1.02687771E+03 2.22490254E-01
1.02696613E+03 2.53330002E-01
1.02697718E+03 2.63373761E-01
1.02698824E+03 2.73702928E-01
1.02701034E+03 2.85855770E-01
1.02707666E+03 3.67966758E-01
1.02710981E+03 3.54971100E-01
1.02720928E+03 4.31119922E-01
1.02734191E+03 4.99213264E-01
1.02747454E+03 5.37532820E-01
1.02757401E+03 5.67650299E-01
1.02758506E+03 5.72359557E-01
1.02760717E+03 5.77960020E-01
1.02767348E+03 6.10484819E-01
1.02777295E+03 6.17769684E-01
1.02779285E+03 6.13029773E-01
1.02780611E+03 6.23536301E-01
1.02802400E+03 6.12929679E-01
1.02803821E+03 6.17262543E-01
1.02813768E+03 6.09604785E-01
1.02817084E+03 6.02072564E-01
1.02832004E+03 5.77262934E-01
1.02833662E+03 5.81355966E-01
1.02836978E+03 5.74699716E-01
1.02853556E+03 5.61150401E-01
1.02854883E+03 5.65755620E-01
1.02861846E+03 5.71068383E-01
1.02863504E+03 5.76021586E-01
1.02866819E+03 5.79814820E-01
1.02873451E+03 6.04297669E-01
1.02876766E+03 5.93541093E-01
1.02886713E+03 6.53797712E-01
1.02899976E+03 7.14232391E-01
1.02909923E+03 7.50160118E-01
1.02911029E+03 7.53729928E-01
1.02913239E+03 7.77570121E-01
1.02919871E+03 8.08153239E-01
1.02924292E+03 8.10806104E-01
1.02926502E+03 8.14659382E-01
1.02933133E+03 8.70722281E-01
1.02946396E+03 9.07553981E-01
1.02959659E+03 9.30338282E-01
1.02966290E+03 9.42663410E-01
1.02970711E+03 9.44275655E-01
1.02972922E+03 9.47491914E-01
1.02977343E+03 9.49190227E-01
1.02979553E+03 9.58757181E-01
1.02981211E+03 9.51590983E-01
1.02992816E+03 9.44654606E-01
1.03006079E+03 9.14918429E-01
1.03017131E+03 8.67118171E-01
1.03019342E+03 8.73185074E-01
1.03025973E+03 8.30971067E-01
1.03028184E+03 8.15866653E-01
1.03029289E+03 8.26760989E-01
1.03032604E+03 8.12349609E-01
1.03039236E+03 7.99358706E-01
1.03042551E+03 7.82216661E-01
1.03052499E+03 7.49444115E-01
1.03065761E+03 7.02867061E-01
1.03075708E+03 6.60740547E-01
1.03085656E+03 6.57074067E-01
1.03088971E+03 6.50504855E-01
1.03090077E+03 6.43173412E-01
1.03106876E+03 6.29790184E-01
1.03108866E+03 6.26328276E-01
1.03110287E+03 6.34388765E-01
1.03125444E+03 6.38005300E-01
1.03132075E+03 6.40943667E-01
1.03135391E+03 6.45949770E-01
1.03136496E+03 6.49954425E-01
1.03137381E+03 6.56256512E-01
1.03145338E+03 6.60334165E-01
1.03148654E+03 6.62971192E-01
1.03151970E+03 6.76002038E-01
1.03171864E+03 6.60334165E-01
1.03181811E+03 6.40524726E-01
1.03182916E+03 6.44701888E-01
1.03195074E+03 6.30386612E-01
1.03205021E+03 6.09604785E-01
1.03218284E+03 5.90821351E-01
1.03231546E+03 5.56185418E-01
1.03240388E+03 5.06685233E-01
1.03241494E+03 5.16133130E-01
1.03244809E+03 5.03496538E-01
1.03251441E+03 4.80583644E-01
1.03253651E+03 4.56130032E-01
1.03254757E+03 4.75530123E-01
1.03258072E+03 4.52980521E-01
1.03264704E+03 4.31119922E-01
1.03277966E+03 3.86699951E-01
1.03291229E+03 3.34331705E-01
1.03301176E+03 2.79205122E-01
1.03304492E+03 2.71404899E-01
1.03311123E+03 2.56140034E-01
1.03319081E+03 2.34015260E-01
1.03321070E+03 2.43239380E-01
1.03337649E+03 2.31941359E-01
1.03345607E+03 2.39233566E-01
1.03357543E+03 2.50845403E-01
1.03361964E+03 2.56140034E-01
1.03370806E+03 2.87727720E-01
1.03384069E+03 3.31104588E-01
1.03394016E+03 3.37527968E-01
1.03397332E+03 3.44221498E-01
1.03408384E+03 3.68695532E-01
1.03417226E+03 3.86468495E-01
1.03420542E+03 4.02793422E-01
1.03421647E+03 3.90613695E-01
1.03430489E+03 4.24847956E-01
1.03443752E+03 4.54164148E-01
1.03457014E+03 4.72699267E-01
1.03470277E+03 4.85768806E-01
1.03471603E+03 4.90534526E-01
1.03476908E+03 4.98136691E-01
1.03490171E+03 5.04295603E-01
1.03500118E+03 5.12086655E-01
1.03508739E+03 5.16133130E-01
1.03523328E+03 5.18209270E-01
1.03571959E+03 5.06685233E-01
1.03576380E+03 5.03496538E-01
1.03599590E+03 4.90944769E-01
1.03602905E+03 4.86137059E-01
1.03609537E+03 4.81699449E-01
1.03622799E+03 4.72699267E-01
1.03631641E+03 4.44808120E-01
1.03632747E+03 4.50007835E-01
1.03636062E+03 4.39750417E-01
1.03646009E+03 4.26739225E-01
1.03649325E+03 4.22313090E-01
1.03653746E+03 4.18268133E-01
1.03669219E+03 4.14615513E-01
1.03682482E+03 4.04787749E-01
1.03697955E+03 3.87855152E-01
1.03699724E+03 3.92533141E-01
1.03715639E+03 3.93352895E-01
1.03728902E+03 4.00118859E-01
1.03735533E+03 4.07431665E-01
1.03742165E+03 4.15908336E-01
1.03750122E+03 4.23202020E-01
1.03762059E+03 4.56522193E-01
1.03775322E+03 4.91627746E-01
1.03788585E+03 5.21307979E-01
1.03799637E+03 5.38031964E-01
1.03801847E+03 5.47429206E-01
1.03808479E+03 5.84426066E-01
1.03811794E+03 5.79351676E-01
1.03821742E+03 6.20947951E-01
1.03835004E+03 6.56256512E-01
1.03844951E+03 6.83505009E-01
1.03846057E+03 6.87941504E-01
1.03848267E+03 6.95958780E-01
1.03854899E+03 7.14232391E-01
1.03858214E+03 7.20220571E-01
1.03868161E+03 7.55153126E-01
1.03881424E+03 8.02040662E-01
1.03894687E+03 8.45699995E-01
1.03901318E+03 8.65155367E-01
1.03904634E+03 8.82967551E-01
1.03905739E+03 8.67221354E-01
1.03914581E+03 9.02313526E-01
1.03915908E+03 8.92642829E-01
1.03917897E+03 8.87213469E-01
1.03919002E+03 8.89831741E-01
1.03927844E+03 8.81750677E-01
1.03941107E+03 8.57676609E-01
1.03951054E+03 7.74976672E-01
1.03954370E+03 7.88539674E-01
1.03961001E+03 6.92220323E-01
1.03964317E+03 7.05345090E-01
1.03965422E+03 7.00827262E-01
1.03965975E+03 6.81046050E-01
1.03967632E+03 6.96729749E-01
1.03968959E+03 6.88357584E-01
1.03970948E+03 6.70820076E-01
1.03974264E+03 6.73482473E-01
1.03975922E+03 6.76795742E-01
1.03987527E+03 7.97341320E-01
1.04000789E+03 9.30049707E-01
1.04014052E+03 9.33219117E-01
1.04015378E+03 9.80461711E-01
1.04017368E+03 9.71136246E-01
1.04018473E+03 9.44654606E-01
1.04020684E+03 9.52201972E-01
1.04022341E+03 9.54829456E-01
1.04033947E+03 9.02214357E-01
1.04053841E+03 7.98434704E-01
1.04056051E+03 8.01147674E-01
1.04057156E+03 8.06379814E-01
1.04058577E+03 8.10033250E-01
1.04060472E+03 8.21876409E-01
1.04063788E+03 8.16633987E-01
1.04073735E+03 8.11357693E-01
1.04080366E+03 7.82388225E-01
1.04083682E+03 7.46573239E-01
1.04093629E+03 6.56256512E-01
1.04109102E+03 4.09184786E-01
1.04110208E+03 4.86688915E-01
1.04113523E+03 4.81699449E-01
1.04114850E+03 4.91627746E-01
1.04126786E+03 5.79814820E-01
1.04130102E+03 6.43034280E-01
1.04131207E+03 6.47195246E-01
1.04133417E+03 6.52153362E-01
1.04140049E+03 8.39327873E-01
1.04153312E+03 9.62668881E-01
1.04163259E+03 9.66842426E-01
1.04166575E+03 9.69707085E-01
1.04169890E+03 9.99402245E-01
1.04171548E+03 9.79324868E-01
1.04173206E+03 9.92687303E-01
1.04176522E+03 9.77335644E-01
1.04179837E+03 9.70444979E-01
1.04186469E+03 9.34368964E-01
1.04189784E+03 9.08145334E-01
1.04199732E+03 8.25136008E-01
1.04212994E+03 6.68414851E-01
1.04222942E+03 4.47915216E-01
1.04224047E+03 4.40766600E-01
1.04226257E+03 4.80583644E-01
1.04236204E+03 3.32722060E-01
1.04237862E+03 3.00281648E-01
1.04239520E+03 3.26478240E-01
1.04240846E+03 3.16514628E-01
1.04242836E+03 2.91435554E-01
1.04259414E+03 4.52980521E-01
1.04272677E+03 5.71420811E-01
1.04281519E+03 6.22099658E-01
1.04282624E+03 6.43242967E-01
1.04283729E+03 6.37163278E-01
1.04285940E+03 6.71619903E-01
1.04292571E+03 7.10464150E-01
1.04295887E+03 7.24308728E-01
1.04296992E+03 7.27882395E-01
1.04309150E+03 7.50160118E-01
1.04312466E+03 7.46573239E-01
1.04332360E+03 7.32782994E-01
1.04341202E+03 7.06042448E-01
1.04342307E+03 7.12413563E-01
1.04345622E+03 6.99037556E-01
1.04352254E+03 6.86639628E-01
1.04355570E+03 6.83112171E-01
1.04375464E+03 6.65194357E-01
1.04378779E+03 6.59520652E-01
1.04387069E+03 6.62768716E-01
1.04388727E+03 6.68615617E-01
1.04392042E+03 6.84290011E-01
1.04398674E+03 7.11219395E-01
1.04401989E+03 7.08193580E-01
1.04403095E+03 7.14190631E-01
1.04405305E+03 7.18728204E-01
1.04411937E+03 7.43691280E-01
1.04425199E+03 7.59053164E-01
1.04428515E+03 7.60642870E-01
1.04431831E+03 7.74110258E-01
1.04433157E+03 7.77708195E-01
1.04447304E+03 7.47291992E-01
1.04448409E+03 7.50875438E-01
1.04451725E+03 7.45133652E-01
1.04458356E+03 7.19474774E-01
1.04460567E+03 7.00316384E-01
1.04461672E+03 7.13104010E-01
1.04471619E+03 6.75604837E-01
1.04484882E+03 6.10484819E-01
1.04498145E+03 5.40520762E-01
1.04509197E+03 5.05447576E-01
1.04514723E+03 4.94892920E-01
1.04519365E+03 4.98675268E-01
1.04531302E+03 5.24388377E-01
1.04544565E+03 5.65755620E-01
1.04557827E+03 5.98943529E-01
1.04564459E+03 6.09604785E-01
1.04568880E+03 6.13117342E-01
1.04584353E+03 6.30386612E-01
1.04604247E+03 6.10484819E-01
1.04614194E+03 5.83506732E-01
1.04617510E+03 5.72359557E-01
1.04624141E+03 5.57149835E-01
1.04627457E+03 5.48898275E-01
1.04630773E+03 5.41182509E-01
1.04637404E+03 5.33522869E-01
