Wavelength,GDD
1571.723735,-304.2559037
1573.084383,-309.3969407
1574.324753,-313.8754682
1575.647815,-318.577944
1577.053568,-323.5056882
1578.459321,-328.6305421
1579.865074,-333.5952443
1581.188136,-338.3351181
1582.67658,-343.440877
1584.165024,-348.5355485
1585.488086,-353.1645481
1586.811147,-357.5995179
1588.299592,-362.4668971
1589.953419,-367.7888608
1591.441863,-372.5398221
1592.930307,-377.3018708
1594.501443,-382.3698317
1596.15527,-386.8764777
1597.726406,-391.0946266
1599.462924,-395.7956945
1600.914617,-399.5654188
1602.617917,-403.2637855
1604.424405,-406.9234367
1606.243615,-410.4915715
1608.062825,-413.273507
1609.882034,-416.1159194
1611.701244,-418.2729274
1613.520454,-419.8654847
1615.339663,-420.9943861
1617.158873,-421.478201
1618.978083,-421.901539
1620.797293,-421.0750219
1622.616502,-420.2283459
1624.435712,-418.7567423
1626.254922,-416.2368731
1628.074132,-413.1727122
1629.893341,-409.846485
1631.712551,-405.6937406
1633.462851,-400.7480774
1635.170553,-396.440781
1636.591341,-391.0281021
1637.997094,-386.0141224
1639.469,-381.0272454
1640.622544,-375.7828937
1641.745768,-370.8613092
1643.140496,-365.6379005
1644.298175,-360.2050626
1645.365812,-354.8954183
1646.581959,-349.430102
1647.705058,-343.9287237
1648.897317,-338.4031546
1649.98734,-332.8191246
1651.212675,-326.4287364
1652.372667,-320.4864972
1653.576144,-314.5026996
1654.314854,-309.7326433
1655.362277,-304.5831507
1656.384643,-299.4056595
1657.407009,-293.4486889
1658.594757,-287.4211618
1659.570348,-282.0140826
1660.54928,-276.6361218
1661.782133,-270.4876411
1662.864638,-264.6415447
1664.052387,-258.876084
1665.119857,-253.6056377
1666.03865,-248.4068676
1667.089414,-243.4343258
1668.096745,-238.2711139
1669.370192,-233.5866772
1670.3386,-228.8683622
1671.404399,-223.8174244
1672.709085,-218.5940156
1673.967831,-213.4630021
1675.373584,-208.4428627
1676.862029,-203.1455378
1678.449702,-198.5725912
1680.0043,-193.6618702
1681.82351,-189.3881721
1683.642719,-185.1951099
1685.461929,-181.9293594
1687.281139,-179.3288545
1689.100348,-177.2524823
1690.919558,-175.9623093
1692.738768,-174.9745206
1694.557978,-175.0954743
1696.377187,-176.063104
1698.196397,-177.1516875
1700.015607,-178.8853575
1701.834817,-181.1230013
1703.654026,-183.84446
1705.473236,-186.9287798
1707.292446,-190.315484
1709.111655,-194.2464799
1710.930865,-197.209846
1712.584692,-201.7254515
1714.403902,-206.0596265
1716.223112,-209.5672844
1718.042321,-213.8208235
1719.861531,-218.1146805
1721.680741,-221.6223384
1723.49995,-225.3315858
1725.31916,-228.4562236
1727.13837,-231.1575233
1728.95758,-233.455644
1730.776789,-235.6731288
1732.595999,-237.0036197
1734.415209,-237.8704547
1736.234418,-237.9107726
1738.053628,-237.5680704
1739.872838,-236.5399638
1741.692048,-234.7659759
1743.511257,-232.0445172
1745.330467,-228.9601974
1747.149677,-225.0896784
1748.886195,-220.4591668
1750.457331,-215.9083951
1751.945775,-211.0792058
1753.533449,-206.0455152
1754.812409,-201.332128
1756.061967,-196.5177219
1757.30004,-191.6484948
1758.561083,-186.8839822
1759.737138,-181.6852121
1760.805563,-177.5951845
1761.951429,-172.3840951
1763.047089,-167.4779098
1764.366016,-162.4941126
1765.465811,-157.1943238
1766.62349,-152.5376056
1767.84089,-147.5852227
1768.980193,-142.8440289
1770.220564,-138.4011396
1771.709008,-133.2676622
1773.362835,-128.2117967
1775.099353,-123.2668055
1776.918563,-119.7591476
1778.737773,-117.3199143
1780.556983,-115.6467211
1782.376192,-116.3926024
1784.195402,-118.9326305
1785.93192,-123.2224558
1787.337673,-128.4778949
1788.536698,-134.4096669
1789.708159,-140.3168002
1790.406441,-144.825686
1791.141475,-149.0846649
1791.885698,-154.5776917
1792.62992,-160.2671242
1793.126068,-164.6704156
1793.567088,-169.2057001
1794.201055,-174.6939751
1795.005417,-182.6550818
1795.722576,-190.3678973
1796.244713,-196.4121274
1796.746111,-202.948428
1797.281308,-209.554685
1797.69063,-215.3146019
1798.17024,-221.6954146
1798.501006,-226.9619411
1798.831771,-232.2007491
1799.493302,-237.5977377
1799.658685,-242.5823401
1800.012002,-249.4416939
1800.485598,-257.0365795
1800.717134,-263.1901
1800.998284,-269.3990576
1801.643277,-276.6058834
1801.940966,-283.9457583
1802.370961,-291.1082344
1802.959978,-298.6698577
1803.064065,-305.7456503
1803.421141,-313.6933177
1803.875943,-320.96566
1804.101465,-329.1300361
1804.537474,-337.2319194
1804.950931,-345.4772673
1805.281696,-354.4026438
1805.695153,-363.5312898
1806.10861,-372.752331
1806.439375,-387.2214197
1806.472452,-381.6037914
1806.935523,-391.434641
1807.073342,-400.563287
1807.399867,-407.5483643
1807.530901,-416.2187301
1808.047263,-423.1939519
1808.175894,-441.2541341
1808.258585,-435.4886735
1808.837425,-452.8294051
1808.920116,-456.6656539
